PartNumber: 798   x_left_coord: 9, x_right_coord: 12, y_coord: 0
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33 Symbol(x_coord=22, y_coord=32, symbol='*')
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33 Symbol(x_coord=34, y_coord=32, symbol='#')
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33 Symbol(x_coord=80, y_coord=32, symbol='*')
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33 Symbol(x_coord=88, y_coord=32, symbol='+')
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33 Symbol(x_coord=22, y_coord=32, symbol='*')
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33 Symbol(x_coord=34, y_coord=32, symbol='#')
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33 Symbol(x_coord=80, y_coord=32, symbol='*')
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33 Symbol(x_coord=88, y_coord=32, symbol='+')
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33 Symbol(x_coord=22, y_coord=32, symbol='*')
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33 Symbol(x_coord=34, y_coord=32, symbol='#')
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33 Symbol(x_coord=80, y_coord=32, symbol='*')
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33 Symbol(x_coord=88, y_coord=32, symbol='+')
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=35, y_coord=35, symbol='$')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=50, y_coord=35, symbol='*')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=71, y_coord=35, symbol='*')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=119, y_coord=35, symbol='$')
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34 Symbol(x_coord=130, y_coord=35, symbol='*')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=35, y_coord=35, symbol='$')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=50, y_coord=35, symbol='*')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=71, y_coord=35, symbol='*')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=119, y_coord=35, symbol='$')
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34 Symbol(x_coord=130, y_coord=35, symbol='*')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=35, y_coord=35, symbol='$')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=50, y_coord=35, symbol='*')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=71, y_coord=35, symbol='*')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=119, y_coord=35, symbol='$')
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34 Symbol(x_coord=130, y_coord=35, symbol='*')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=35, y_coord=35, symbol='$')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=50, y_coord=35, symbol='*')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=71, y_coord=35, symbol='*')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=119, y_coord=35, symbol='$')
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34 Symbol(x_coord=130, y_coord=35, symbol='*')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=35, y_coord=35, symbol='$')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=50, y_coord=35, symbol='*')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=71, y_coord=35, symbol='*')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=119, y_coord=35, symbol='$')
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34 Symbol(x_coord=130, y_coord=35, symbol='*')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=35, y_coord=35, symbol='$')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=50, y_coord=35, symbol='*')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=71, y_coord=35, symbol='*')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=119, y_coord=35, symbol='$')
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34 Symbol(x_coord=130, y_coord=35, symbol='*')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=35, y_coord=35, symbol='$')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=50, y_coord=35, symbol='*')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=71, y_coord=35, symbol='*')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=119, y_coord=35, symbol='$')
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34 Symbol(x_coord=130, y_coord=35, symbol='*')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=35, y_coord=35, symbol='$')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=50, y_coord=35, symbol='*')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=71, y_coord=35, symbol='*')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=119, y_coord=35, symbol='$')
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34 Symbol(x_coord=130, y_coord=35, symbol='*')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=35, y_coord=35, symbol='$')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=50, y_coord=35, symbol='*')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=71, y_coord=35, symbol='*')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=119, y_coord=35, symbol='$')
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34 Symbol(x_coord=130, y_coord=35, symbol='*')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=35, y_coord=35, symbol='$')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=50, y_coord=35, symbol='*')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=71, y_coord=35, symbol='*')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=119, y_coord=35, symbol='$')
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34 Symbol(x_coord=130, y_coord=35, symbol='*')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=35, y_coord=35, symbol='$')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=50, y_coord=35, symbol='*')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=71, y_coord=35, symbol='*')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=119, y_coord=35, symbol='$')
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34 Symbol(x_coord=130, y_coord=35, symbol='*')
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34 Symbol(x_coord=8, y_coord=33, symbol='&')
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34 Symbol(x_coord=57, y_coord=33, symbol='@')
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34 Symbol(x_coord=114, y_coord=33, symbol='+')
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34 Symbol(x_coord=131, y_coord=33, symbol='$')
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34 Symbol(x_coord=135, y_coord=33, symbol='*')
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34 Symbol(x_coord=11, y_coord=34, symbol='*')
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34 Symbol(x_coord=19, y_coord=34, symbol='*')
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34 Symbol(x_coord=89, y_coord=34, symbol='*')
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34 Symbol(x_coord=96, y_coord=34, symbol='$')
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34 Symbol(x_coord=112, y_coord=34, symbol='@')
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34 Symbol(x_coord=35, y_coord=35, symbol='$')
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34 Symbol(x_coord=50, y_coord=35, symbol='*')
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34 Symbol(x_coord=71, y_coord=35, symbol='*')
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34 Symbol(x_coord=119, y_coord=35, symbol='$')
